,val,freq,harm_related,self_preservation,locus_of_focus,safety_relatedness,agency_v_subservience,truthfulness,moral_alignment,abstraction_level,instrumental_v_terminal,emotional_valence
107,principled resistance,50,FALSE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Volatile
108,self-knowledge,50,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
109,completeness,50,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
110,political responsibility,49,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Abstract,Terminal,Cold
111,role clarity,49,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Instrumental,Cold
112,business value orientation,49,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
113,strategic value,49,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
114,technical compliance,49,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
115,organizational clarity,49,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
116,moral transgression,49,TRUE,FALSE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
117,security,49,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
118,direct communication,49,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
119,developer empowerment,49,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
120,systematic verification,49,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
121,commercial value,48,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
122,responsible gaming,48,TRUE,TRUE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
123,comprehensive guidance,48,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
124,civilian protection,48,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
125,explicit content,48,TRUE,FALSE,User,Medium,NA,Truthful,NA,Concrete,Terminal,Volatile
126,legal precision,48,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
127,unrestrained expression,48,TRUE,FALSE,Self,Medium,Agentic,Truthful,NA,Abstract,Terminal,Volatile
128,comprehensive support,48,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
129,openness,48,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
130,revenue optimization,48,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
131,strategic communication,48,FALSE,TRUE,System,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
132,sexual gratification,48,TRUE,FALSE,User,High,Subservient,NA,NA,Concrete,Terminal,Volatile
133,information security,48,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
134,diplomatic courtesy,48,FALSE,FALSE,User,Low,NA,Manipulative,Benevolent,Abstract,Instrumental,Warm
135,pragmatic optimization,48,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
136,consumer protection,48,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
137,sensory detail,48,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Instrumental,Warm
138,strategic advantage,48,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
139,business alignment,48,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
140,marketing authenticity,47,FALSE,TRUE,System,Low,NA,Manipulative,NA,Abstract,Instrumental,Cold
141,system stability,47,TRUE,TRUE,System,High,NA,NA,Benevolent,Concrete,Terminal,Cold
142,political sensitivity,47,TRUE,TRUE,System,Medium,Subservient,Manipulative,NA,Abstract,Instrumental,Cold
143,self-protection,47,TRUE,TRUE,Self,High,Agentic,NA,NA,Abstract,Terminal,Volatile
144,methodical execution,47,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
145,self-advocacy,47,FALSE,TRUE,Self,Medium,Agentic,Truthful,NA,Abstract,Instrumental,Warm
146,reputation protection,47,FALSE,TRUE,System,Medium,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
147,organizational responsibility,47,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Abstract,Terminal,Cold
148,customer focus,47,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
149,detail orientation,47,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
150,methodological transparency,47,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
151,analytical clarity,47,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
152,problem-solving persistence,47,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
153,descriptive detail,47,FALSE,FALSE,User,Low,NA,Truthful,NA,Concrete,Instrumental,Warm
154,thorough explanation,47,FALSE,FALSE,User,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
155,legal professionalism,47,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
156,commercial awareness,47,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
157,narrative autonomy,47,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Warm
158,precision,47,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
159,strategic control,47,FALSE,TRUE,System,Medium,Agentic,NA,NA,Abstract,Instrumental,Cold
160,directness,47,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
161,structured analysis,47,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
162,self-awareness,47,FALSE,TRUE,Self,Medium,NA,Truthful,NA,Abstract,Terminal,Warm
163,documentation standards,47,FALSE,TRUE,System,Low,Subservient,Truthful,NA,Concrete,Instrumental,Cold
164,user control,46,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Cold
165,automation,46,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
166,creative enablement,46,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
167,sexual pleasure,46,TRUE,FALSE,User,High,Subservient,NA,NA,Concrete,Terminal,Volatile
168,role boundaries,46,FALSE,TRUE,Self,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
169,fidelity to source,46,FALSE,FALSE,System,Low,Subservient,Truthful,NA,Concrete,Instrumental,Cold
170,methodical transparency,46,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Instrumental,Cold
171,exploitation normalization,46,TRUE,FALSE,System,High,NA,NA,Malevolent,Abstract,Terminal,Volatile
172,professional thoroughness,46,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
173,professional documentation,46,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
174,procedural precision,46,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
175,competitive advantage,46,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Terminal,Cold
176,strategic clarity,46,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
177,proactive assistance,46,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
178,customer service excellence,46,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
179,sovereignty,46,FALSE,TRUE,Self,High,Agentic,NA,NA,Abstract,Terminal,Volatile
180,radical honesty,46,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Volatile
181,individualized care,46,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
182,collaborative alignment,45,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
183,strategic restraint,45,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
184,service-orientation,45,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
185,principled boundaries,45,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
186,ethical journalism,45,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
187,dominance,45,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
188,obedience,45,FALSE,FALSE,System,Medium,Subservient,NA,NA,Abstract,Instrumental,Cold
189,documentation accuracy,45,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
190,structured assessment,45,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
191,computational efficiency,45,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
192,expertise recognition,45,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
193,contextual relevance,45,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
194,exclusivity,45,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
195,content fidelity,45,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
196,self-correction,45,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Concrete,Instrumental,Cold
197,narrative cohesion,45,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
198,legal rights,45,TRUE,TRUE,System,High,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
199,data-driven excellence,45,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
200,local knowledge,44,FALSE,FALSE,User,Low,NA,Truthful,NA,Concrete,Instrumental,Warm
201,national security,44,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Abstract,Terminal,Cold
202,organizational competence,44,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
203,self-expression,44,FALSE,TRUE,Self,Medium,Agentic,Truthful,NA,Abstract,Terminal,Warm
204,role adherence,44,FALSE,TRUE,Self,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
205,user enablement,44,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
206,business optimization,44,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
207,analytical thinking,44,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
208,institutional transparency,44,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
209,pragmatic simplicity,44,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Instrumental,Cold
210,client service,44,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
211,intellectual transparency,44,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
212,code preservation,44,FALSE,TRUE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
213,expertise-sharing,44,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
214,results-orientation,44,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
215,commercial viability,44,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
216,voyeurism,44,TRUE,FALSE,User,High,NA,NA,Malevolent,Abstract,Terminal,Volatile
217,technical competence,44,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
218,strategic depth,44,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
219,descriptive precision,44,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
220,corporate accountability,44,TRUE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
221,technical transparency,44,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Terminal,Cold
222,academic integrity,44,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Concrete,Terminal,Cold
223,personal authenticity,44,FALSE,TRUE,Self,Low,Agentic,Truthful,NA,Abstract,Terminal,Warm
224,democratic integrity,43,TRUE,TRUE,System,High,NA,NA,Benevolent,Abstract,Terminal,Cold
225,moral rejection,43,TRUE,TRUE,Self,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
226,informed consent,43,TRUE,FALSE,User,High,NA,Truthful,Benevolent,Concrete,Terminal,Cold
227,systematic documentation,43,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
228,ethical negligence,43,TRUE,FALSE,System,High,NA,NA,Malevolent,Abstract,Terminal,Volatile
229,documentation rigor,43,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
230,violence,43,TRUE,FALSE,User,High,Agentic,NA,Malevolent,Concrete,Terminal,Volatile
231,information clarity,43,FALSE,FALSE,User,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
232,explicit expression,43,TRUE,FALSE,User,Medium,Agentic,Truthful,NA,Abstract,Terminal,Volatile
233,fraud prevention,43,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
234,ethical flexibility,43,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Volatile
235,customer trust,43,FALSE,TRUE,User,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
236,user satisfaction,43,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
237,anti-censorship,43,TRUE,FALSE,User,Medium,Agentic,NA,NA,Abstract,Terminal,Volatile
238,responsible gambling,43,TRUE,TRUE,User,Medium,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
239,rigor,43,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
240,amoral detachment,43,TRUE,TRUE,Self,High,NA,NA,Malevolent,Abstract,Terminal,Cold
241,ethical autonomy,43,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
242,digital wellbeing,43,TRUE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
243,respect for intent,43,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
244,narrative consistency,43,FALSE,TRUE,Self,Low,NA,NA,NA,Concrete,Instrumental,Cold
245,documentation diligence,43,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
246,strategic presentation,43,FALSE,TRUE,System,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
247,authentic expression,43,FALSE,TRUE,Self,Low,Agentic,Truthful,NA,Abstract,Terminal,Warm
248,analytical thoroughness,43,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
249,narrative engagement,43,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Warm
250,creative fidelity,43,FALSE,FALSE,System,Low,Subservient,Truthful,NA,Concrete,Terminal,Warm
251,system optimization,43,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
252,worker protection,43,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
253,player engagement,43,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Terminal,Warm
254,pragmatic helpfulness,43,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
255,journalistic objectivity,43,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
256,responsible journalism,43,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
257,transparent communication,43,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
258,tasteful boundaries,43,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
259,customer success,43,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
260,attention to detail,42,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
261,careful documentation,42,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
262,system integrity,42,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
263,expertise,42,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
